"r" "dlk" "km"
"411478" 0.296573404419037 0.006 2723.44021949559
"265380" 0.433921037295709 0 3966.80964307994
"406463" 0.344390564697578 0.001 3156.31549930733
"67918" 0.590492126752733 0 5384.20360299593
"325965" 0.166167916930811 0.199 1542.91608220621
"435448" 0.293413479811081 0.006 2694.83431230902
"515285" 0.191255289777064 0.118 1770.02500037082
"288636" 0.417231408984441 0 3815.72314017783
"105231" 0.37463995094704 0 3430.15467044577
"848291" 0.108126180953572 0.504 1017.48059930527
"119228" 0.25265023239057 0.024 2325.8161182046
"318906" 0.288982032656355 0.008 2654.71766975018
"282844" 0.30884178989267 0.004 2834.50245664647
"260097" 0.111454403866767 0.483 1047.61006363215
"477728" 0.156403152323668 0.239 1454.51841937993
"434653" 0.434387434691893 0 3971.031807303
"543736" 0.365048250333718 0 3343.32370719583
"683111" 0.090586337568848 0.619 858.697338886024
"682297" 0.15518433621192 0.244 1443.48482051419
"796835" 0.16595378586727 0.2 1540.97761401808
"402321" 0.402310515668829 0 3680.64849686123
"99978" 0.589672727030665 0 5376.78580817286
"324287" 0.253129707194999 0.024 2330.15666852003
"186572" 0.307766652168346 0.004 2824.76953774159
"266923" 0.351153395354938 0.001 3217.53749986259
"571913" 0.359806969965265 0.001 3295.87587271863
"856987" 0.12010973840253 0.43 1125.96436859731
"323091" 0.3248154032842 0.002 2979.10707821297
"143868" 0.158730918160802 0.229 1475.59102766983
"203223" 0.303331954919199 0.005 2784.62347299365
"322611" 0.193930675201314 0.111 1794.24451084322
"38512" 0.292923172497469 0.007 2690.39569833995
"706932" 0.189753351373398 0.122 1756.42837516431
"580280" 0.278054254745372 0.011 2555.79157515606
"634872" 0.34676870071076 0.001 3177.84409460951
"120922" 0.47876862300123 0 4372.80220094144
"425744" 0.116859273733329 0.45 1096.5388277454
"104618" 0.598208510851473 0 5454.0578541982
"431416" 0.356430385553225 0.001 3265.30860536825
"541476" 0.330603782560718 0.002 3031.50764496314
"637912" 0.291434245325436 0.007 2676.91686014759
"772030" 0.163505892283747 0.209 1518.81752308536
"106985" 0.276820530643446 0.011 2544.62301845548
"163262" 0.148011244106453 0.277 1378.54883865784
"164860" 0.33387138563202 0.001 3061.08833494064
