	div	mean.sim.div	Lon	Lat	envir
1	2.197224577	0.907556713	-109	27.3	80.09143831
2	2.708050201	1.401438559	-108	25.1	72.1923836
3	2.890371758	1.985421782	-106.9	24.1	56.44748392
4	2.944438979	2.423988608	-105.9	23.1	46.54114366
5	2.772588722	1.7618963	-99	23.3	64.85289493
6	2.63905733	1.667508489	-98	23.2	66.52831064
7	2.772588722	1.811898799	-99	22.3	62.24734536
8	2.63905733	1.804017236	-97.9	22.2	62.3472
9	2.995732274	2.884931883	-105.2	21.1	39.36473939
10	2.833213344	2.264437768	-99	21.3	50.07993676
11	2.944438979	2.085710235	-97.7	21.3	55.43062509
12	2.63905733	3.488707944	-90	20.9	30.46230104
13	2.708050201	3.570300794	-88.9	21.3	30.10952739
14	2.833213344	3.662096049	-88	21.4	29.63634079
15	2.772588722	3.535169487	-87.1	21.3	31.38915249
16	2.995732274	3.208825727	-105.1	20.2	34.63131857
17	3.091042453	3.129916739	-98	20.3	36.71271767
18	3.044522438	2.554088926	-97	20.2	45.2786217
19	2.772588722	3.497959439	-90	20.3	31.56398448
20	2.833213344	3.619120582	-89	20.3	30.39406128
21	2.890371758	3.837185881	-87.7	20.2	27.66118841
22	3.091042453	3.653596856	-104.8	19.4	28.28916697
23	3.135494216	3.816090981	-104	19.1	25.64215526
24	3.135494216	3.793227727	-103	19.3	26.58887398
25	3.044522438	3.656231395	-102	19.3	28.49336798
26	2.944438979	3.529686757	-101	19.3	30.29507044
27	3.295836866	3.63490477	-97	19.3	30.91354726
28	2.772588722	3.41725164	-90.9	19.1	32.86295857
29	2.890371758	3.520341182	-90	19.3	32.37716058
30	2.995732274	3.871485718	-89	19.3	27.95107782
31	2.944438979	4.031955433	-87.8	19.2	24.77214149
32	3.135494216	4.054504278	-102.9	18.3	20.5920674
33	3.17805383	4.168132327	-101.9	18	15.83998862
34	3.17805383	4.003246061	-101	18.3	22.37908536
35	3.17805383	3.85578553	-100	18.3	26.58956501
36	3.135494216	3.882278715	-99	18.3	25.99631099
37	3.433987204	3.524979974	-97	18.3	33.68373606
38	3.526360525	3.264241252	-95.8	18.4	37.63576842
39	3.610917913	3.322323686	-94.9	18.3	37.39183287
40	3.583518938	3.459050542	-93.8	18.2	35.97123652
41	3.526360525	3.562014564	-92.9	18.4	34.42124376
42	3.401197382	3.671082172	-91.9	18.4	32.58084331
43	3.258096538	3.586400108	-91.1	18.4	33.12555209
44	3.218875825	3.760345475	-90	18.3	30.74355252
45	3.17805383	3.981187479	-89	18.3	27.02215327
46	3.17805383	4.111410862	-88.1	18.3	24.31813113
47	3.17805383	4.218190057	-100.9	17.4	11.00083936
48	3.218875825	4.206222611	-99.9	17.1	15.87920489
49	3.663561646	3.694708287	-95	17.3	32.94536456
50	3.688879454	3.717807191	-94	17.3	33.04435541
51	3.761200116	3.874788674	-93	17.3	30.8180116
52	3.761200116	3.95483602	-92	17.3	30.01727414
53	3.610917913	3.922735861	-91	17.3	30.13751433
54	3.433987204	3.996600929	-90	17.3	28.22092721
55	3.465735903	4.087760794	-89	17.3	26.84801231
56	3.218875825	4.21125405	-97.9	16.2	17.74379159
57	3.583518938	4.239867074	-94.8	16.3	20.31565318
58	3.610917913	4.281439353	-93.9	16.1	19.02065254
59	3.713572067	4.199535549	-93	16.3	23.52378576
60	3.761200116	4.234447054	-91	16.3	23.2252584
61	3.688879454	4.190351094	-90	16.3	24.84884644
62	3.610917913	4.234887513	-88.7	16.1	24.11894013
63	3.555348061	4.366424281	-92.8	15.2	12.96251656
64	3.784189634	4.331065179	-89	15.3	21.25891671
65	3.784189634	4.30802454	-88	15.5	22.32311147
66	3.737669618	4.318074472	-87	15.3	22.79370669
67	3.761200116	4.351090156	-86	15.3	21.49663295
68	3.663561646	4.390009167	-85	15.3	18.4728341
69	3.555348061	4.39580234	-83.9	15.3	17.50348397
70	3.433987204	4.356703966	-91.7	14.3	8.619876347
71	3.610917913	4.394423612	-89	14.3	14.69235132
72	3.63758616	4.407391631	-85	14.3	14.67179301
73	3.583518938	4.403598204	-83.7	14.1	14.28014861
74	3.496507561	4.387028837	-87.6	13.2	11.41822484
75	3.688879454	4.413273052	-87.2	13.2	13.09104917
76	3.761200116	4.417621814	-86	13.3	14.52304761
77	3.737669618	4.421794703	-85	13.3	12.91898132
78	3.610917913	4.401094511	-83.8	13.2	11.89763076
79	3.555348061	4.402723109	-86.8	12.2	13.27745601
80	3.713572067	4.416850855	-86	12.3	12.11962593
81	3.784189634	4.423096999	-85	12.3	11.42565347
82	3.688879454	4.408057714	-83.8	12.3	10.74100999
83	3.912023005	4.325745025	-71.9	12.1	14.65607195
84	3.713572067	4.402148395	-85.9	11.2	9.272904949
85	3.931825633	4.422701858	-85	11.3	9.934917015
86	3.891820298	4.415355786	-83.8	11.3	10.11855971
87	4.007333185	4.274936845	-74.2	11	8.043379932
88	4.043051268	4.301346594	-73	11.3	10.5165962
89	4.043051268	4.291281718	-71.7	11.1	10.23482645
90	3.970291914	4.268672439	-71	11	10.24899268
91	3.951243719	4.271399741	-69.9	11.3	11.87379003
