	Long	Lat	coords.x1	coords.x2	UID	wwf_terr_ecor_asc	wwf_biomes_asc	Morrone_Province	Morrone_Dominion	Elevation	Elev_Range	Temp	Temp_Seas	Prec	Prec_Seas	Bird_Richness_(4297)	Bothrops_Richness_(34)	Didelphidae_Richness_(94)	Hylidae_Richness_(473)	Sigmodontinae_Richness_(400)	pcps1.hylidae	pcps2.hylidae	pcps3.hylidae	pcps4.hylidae	pcps5.hylidae	pcps1.leptodactylidae	pcps2.leptodactylidae	pcps3.leptodactylidae	pcps4.leptodactylidae	pcps5.leptodactylidae	pcps1.bothrops	pcps2.bothrops	pcps3.bothrops	pcps4.bothrops	pcps5.bothrops	pcps1.didelphidae	pcps2.didelphidae	pcps3.didelphidae	pcps4.didelphidae	pcps5.didelphidae	pcps1.sigmodontinae	pcps2.sigmodontinae	pcps3.sigmodontinae	pcps4.sigmodontinae	pcps5.sigmodontinae	pcps1.tyrannidae	pcps2.tyrannidae	pcps3.tyrannidae	pcps4.tyrannidae	pcps5.tyrannidae	pcps1.furnariidae	pcps2.furnariidae	pcps3.furnariidae	pcps4.furnariidae	pcps5.furnariidae	pcps1_tyr+fur	pcps1_mean_all	pcps2.hylidae	pcps1.leptodactylidae	pcps1.bothrops	pcps1.didelphidae	pcps2.sigmodontinae	pcps1.tyrannidae	pcps1.furnariidae	pcps_mean_concordantes
1	-10519639.38	3357713.384	-109.0	27.3	81	98	2	13	13	66.789	114.628	22.94	481.868	666.821	112.239	381	0	2	4	2	0.163355598	-0.650209208	0.121792467	0.027896668	0.070962639	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.359479158	0.338572435	-0.133907294	-0.208603963	0.209402502	-0.191565851	0.139751691	0.149000025	-0.081364654	0.078527486	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.012798146	-0.048575898	-0.650209208	0.102370713	-0.045723051	0.112856353	-0.338572435	-0.191565851	0.217162142	-0.113383048
2	-10421703.73	3107292.711	-108.0	25.1	106	98	2	13	13	35.395	249.33	24.377	436.145	690.937	117.707	385	0	2	4	2	0.164588958	-0.651028434	0.123892239	0.026831014	0.070997189	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.359479158	0.338572435	-0.133907294	-0.208603963	0.209402502	-0.192266524	0.139483548	0.148009987	-0.080041504	0.078200598	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.012447809	-0.0484998	-0.651028434	0.102370713	-0.045723051	0.112856353	-0.338572435	-0.192266524	0.217162142	-0.113600177
3	-10314500.74	2987356.871	-106.9	24.1	118	98	2	13	13	52.643	247.748	24.561	345.007	809.412	114.155	423	0	2	4	3	0.164588958	-0.651028434	0.123892239	0.026831014	0.070997189	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.342568155	0.280926485	-0.05006698	-0.132554873	0.039561505	-0.191435323	0.13923278	0.149250701	-0.081580269	0.078938425	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.01286341	-0.045965199	-0.651028434	0.102370713	-0.045723051	0.112856353	-0.280926485	-0.191435323	0.217162142	-0.105246298
4	-10220042.45	2874944.051	-105.9	23.1	129	98	2	13	13	73.018	178.238	23.237	287.665	1037.75	116.371	443	0	2	9	5	0.166758903	-0.659160073	0.125282537	0.026501474	0.074060601	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.364313304	0.351165134	-0.153534252	-0.227042295	0.258953123	-0.191679883	0.139773742	0.14884118	-0.0807564	0.07838133	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.01274113	-0.048796594	-0.659160073	0.102370713	-0.045723051	0.112856353	-0.351165134	-0.191679883	0.217162142	-0.11647699
5	-9554776.573	2895419.097	-99.0	23.3	136	70	1	15	13	61.068	107.168	22.875	393.661	866.636	78.923	430	1	3	4	6	0.167581595	-0.646988281	0.129731884	0.022076615	0.067678922	0.110087457	0.004600077	-0.046428782	-0.011833159	-0.005664971	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.162641441	0.096150638	0.079953073	-0.10024053	-0.003489777	-0.342216435	0.284213888	-0.050216754	-0.128677494	0.039421984	-0.19432589	0.134111948	0.14549824	-0.076157436	0.079841017	0.217140042	-0.401574423	0.04013617	0.181384479	0.126449272	0.011407076	-0.053443473	-0.646988281	-0.110087457	0.169729636	0.162641441	-0.284213888	-0.19432589	0.217140042	-0.098014914
6	-9454475.121	2885759.454	-98.0	23.2	137	70	1	15	13	41.932	81.057	23.186	403.359	927.687	78.307	346	1	2	3	4	0.167581595	-0.646988281	0.129731884	0.022076615	0.067678922	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.111103038	0.176866787	0.115599299	-0.007690927	-0.001723443	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	-0.191869291	0.130897121	0.141885509	-0.079846553	0.07638445	0.215761563	-0.393927743	0.039149393	0.173035062	0.117761893	0.011946136	-0.073960143	-0.646988281	0.102370713	0.169729636	0.111103038	-0.207872138	-0.191869291	0.215761563	-0.063966394
7	-9554776.573	2777599.451	-99.0	22.3	144	70	1	15	13	40.505	83.623	24.294	378.579	1184.08	86.732	457	1	3	5	7	0.167510616	-0.649031771	0.129178164	0.022872597	0.068960735	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.162641441	0.096150638	0.079953073	-0.10024053	-0.003489777	-0.335838293	0.246626267	-0.009736546	-0.096217347	-0.025121594	-0.193871796	0.134916803	0.145909448	-0.076369741	0.07940137	0.217140042	-0.401574423	0.04013617	0.181384479	0.126449272	0.011634123	-0.082828746	-0.649031771	0.102370713	0.169729636	0.162641441	-0.246626267	-0.193871796	0.217140042	-0.062521143
8	-9447486.609	2767343.506	-97.9	22.2	145	70	1	15	13	14.552	23.941	24.514	379.157	986.888	83.433	373	1	3	3	5	0.165276984	-0.65034931	0.125202607	0.025843267	0.070475843	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.162641441	0.096150638	0.079953073	-0.10024053	-0.003489777	-0.301610145	0.1438445	0.05181294	-0.017345426	-0.105035941	-0.197967673	0.127521479	0.136812097	-0.070867729	0.077434943	0.215761563	-0.393927743	0.039149393	0.173035062	0.117761893	0.008896945	-0.079040152	-0.65034931	0.102370713	0.169729636	0.162641441	-0.1438445	-0.197967673	0.215761563	-0.048808304
9	-10146346.85	2638022.87	-105.2	21.1	146	98	2	13	13	87.798	231.907	22.731	246.125	1234.069	120.879	473	0	2	9	5	0.166758903	-0.659160073	0.125282537	0.026501474	0.074060601	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.348906453	0.321329029	-0.103416839	-0.168734316	0.131474859	-0.19531976	0.133115659	0.144331357	-0.074950166	0.080014248	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.010921191	-0.047115598	-0.659160073	0.102370713	-0.045723051	0.112856353	-0.321329029	-0.19531976	0.217162142	-0.112734672
10	-9554776.573	2658952.054	-99.0	21.3	152	70	1	15	13	86.988	121.685	21.615	308.149	1194.233	76.057	484	1	3	13	7	0.204024952	-0.606735728	0.058598735	-0.039671917	0.045021184	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.162641441	0.096150638	0.079953073	-0.10024053	-0.003489777	-0.335838293	0.246626267	-0.009736546	-0.096217347	-0.025121594	-0.180890147	0.122586281	0.135093974	-0.08439751	0.065426463	0.305406394	-0.218341629	0.175129653	0.178640297	-0.009459451	0.062258124	-0.063148412	-0.606735728	0.102370713	0.169729636	0.162641441	-0.246626267	-0.180890147	0.305406394	-0.042014851
